MAMH           |        ID|NOIDUNG                                                                                                                                                                                                                                                                                                     |A                                                                                                   |B                                                                                                   |C                                                                                                   |D                                                                                                   |A|S
INT1307        |0000000108|Cau hoi 8 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1307        |0000000109|Cau hoi 9 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                  |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1307        |0000000110|Cau hoi 10 cua mon Lap trinh Java (INT1307)                                                                                                                                                                                                                                                                 |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1308        |0000000111|Cau hoi 1 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1308        |0000000112|Cau hoi 2 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1308        |0000000113|Cau hoi 3 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1308        |0000000114|Cau hoi 4 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1308        |0000000115|Cau hoi 5 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1308        |0000000116|Cau hoi 6 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1308        |0000000117|Cau hoi 7 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1308        |0000000118|Cau hoi 8 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1308        |0000000119|Cau hoi 9 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                   |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1308        |0000000120|Cau hoi 10 cua mon Lap trinh Web (INT1308)                                                                                                                                                                                                                                                                  |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1309        |0000000121|Cau hoi 1 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1309        |0000000122|Cau hoi 2 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1309        |0000000123|Cau hoi 3 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1309        |0000000124|Cau hoi 4 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1309        |0000000125|Cau hoi 5 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1309        |0000000126|Cau hoi 6 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1309        |0000000127|Cau hoi 7 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1309        |0000000128|Cau hoi 8 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1309        |0000000129|Cau hoi 9 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                       |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1309        |0000000130|Cau hoi 10 cua mon Lap trinh Huong doi tuong (INT1309)                                                                                                                                                                                                                                                      |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1310        |0000000131|Cau hoi 1 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1310        |0000000132|Cau hoi 2 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1310        |0000000133|Cau hoi 3 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1310        |0000000134|Cau hoi 4 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1310        |0000000135|Cau hoi 5 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1310        |0000000136|Cau hoi 6 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1310        |0000000137|Cau hoi 7 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1310        |0000000138|Cau hoi 8 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1310        |0000000139|Cau hoi 9 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                 |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1310        |0000000140|Cau hoi 10 cua mon Do hoa may tinh (INT1310)                                                                                                                                                                                                                                                                |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1311        |0000000141|Cau hoi 1 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1311        |0000000142|Cau hoi 2 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1311        |0000000143|Cau hoi 3 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1311        |0000000144|Cau hoi 4 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1311        |0000000145|Cau hoi 5 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1311        |0000000146|Cau hoi 6 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1311        |0000000147|Cau hoi 7 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1311        |0000000148|Cau hoi 8 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1311        |0000000149|Cau hoi 9 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                       |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1311        |0000000150|Cau hoi 10 cua mon Xu ly anh (INT1311)                                                                                                                                                                                                                                                                      |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1312        |0000000151|Cau hoi 1 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1312        |0000000152|Cau hoi 2 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1312        |0000000153|Cau hoi 3 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1312        |0000000154|Cau hoi 4 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1312        |0000000155|Cau hoi 5 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1312        |0000000156|Cau hoi 6 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1312        |0000000157|Cau hoi 7 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1312        |0000000158|Cau hoi 8 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1312        |0000000159|Cau hoi 9 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                               |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1312        |0000000160|Cau hoi 10 cua mon An toan thong tin (INT1312)                                                                                                                                                                                                                                                              |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1313        |0000000161|Cau hoi 1 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1313        |0000000162|Cau hoi 2 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1313        |0000000163|Cau hoi 3 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1313        |0000000164|Cau hoi 4 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1313        |0000000165|Cau hoi 5 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1313        |0000000166|Cau hoi 6 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1313        |0000000167|Cau hoi 7 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1313        |0000000168|Cau hoi 8 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1313        |0000000169|Cau hoi 9 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                     |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1313        |0000000170|Cau hoi 10 cua mon Danh gia hieu nang he thong (INT1313)                                                                                                                                                                                                                                                    |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1314        |0000000171|Cau hoi 1 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1314        |0000000172|Cau hoi 2 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1314        |0000000173|Cau hoi 3 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1314        |0000000174|Cau hoi 4 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1314        |0000000175|Cau hoi 5 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1314        |0000000176|Cau hoi 6 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1314        |0000000177|Cau hoi 7 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1314        |0000000178|Cau hoi 8 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1314        |0000000179|Cau hoi 9 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                               |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1314        |0000000180|Cau hoi 10 cua mon Dien toan dam may (INT1314)                                                                                                                                                                                                                                                              |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1315        |0000000181|Cau hoi 1 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1315        |0000000182|Cau hoi 2 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1315        |0000000183|Cau hoi 3 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1315        |0000000184|Cau hoi 4 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1315        |0000000185|Cau hoi 5 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1315        |0000000186|Cau hoi 6 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1315        |0000000187|Cau hoi 7 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1315        |0000000188|Cau hoi 8 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1315        |0000000189|Cau hoi 9 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                     |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1315        |0000000190|Cau hoi 10 cua mon Phat trien ung dung di dong (INT1315)                                                                                                                                                                                                                                                    |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
INT1316        |0000000191|Cau hoi 1 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 1                                                                                   |Phuong an B cau 1                                                                                   |Phuong an C cau 1                                                                                   |Phuong an D cau 1                                                                                   |a|0
INT1316        |0000000192|Cau hoi 2 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 2                                                                                   |Phuong an B cau 2                                                                                   |Phuong an C cau 2                                                                                   |Phuong an D cau 2                                                                                   |b|0
INT1316        |0000000193|Cau hoi 3 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 3                                                                                   |Phuong an B cau 3                                                                                   |Phuong an C cau 3                                                                                   |Phuong an D cau 3                                                                                   |c|0
INT1316        |0000000194|Cau hoi 4 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 4                                                                                   |Phuong an B cau 4                                                                                   |Phuong an C cau 4                                                                                   |Phuong an D cau 4                                                                                   |d|0
INT1316        |0000000195|Cau hoi 5 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 5                                                                                   |Phuong an B cau 5                                                                                   |Phuong an C cau 5                                                                                   |Phuong an D cau 5                                                                                   |a|0
INT1316        |0000000196|Cau hoi 6 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 6                                                                                   |Phuong an B cau 6                                                                                   |Phuong an C cau 6                                                                                   |Phuong an D cau 6                                                                                   |b|0
INT1316        |0000000197|Cau hoi 7 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 7                                                                                   |Phuong an B cau 7                                                                                   |Phuong an C cau 7                                                                                   |Phuong an D cau 7                                                                                   |c|0
INT1316        |0000000198|Cau hoi 8 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 8                                                                                   |Phuong an B cau 8                                                                                   |Phuong an C cau 8                                                                                   |Phuong an D cau 8                                                                                   |d|0
INT1316        |0000000199|Cau hoi 9 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                             |Phuong an A cau 9                                                                                   |Phuong an B cau 9                                                                                   |Phuong an C cau 9                                                                                   |Phuong an D cau 9                                                                                   |a|0
INT1316        |0000000200|Cau hoi 10 cua mon Quan tri du an CNTT (INT1316)                                                                                                                                                                                                                                                            |Phuong an A cau 10                                                                                  |Phuong an B cau 10                                                                                  |Phuong an C cau 10                                                                                  |Phuong an D cau 10                                                                                  |b|0
